A - strategy,test_score,cv_mean,cv_std,fold1,fold2,fold3,fold4,fold5
random_holdout,55.4745,60.0214,4.3505,56.7065,66.008,54.0744,59.7781,63.5401

B- time_aware,60.0982,59.3868,4.1952,56.9648,64.4878,57.6738,64.0374,53.7699
